file;vertices;edges;time;solsize;recsteps;finished;verified
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w001.dimacs;4;3;0.03;0;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w003.dimacs;6;8;0.00;21;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w005.dimacs;16;118;0.07;4;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w007.dimacs;16;107;0.06;7;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w009.dimacs;13;77;0.03;8;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w011.dimacs;14;88;0.05;10;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w013.dimacs;15;48;0.03;14;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w015.dimacs;10;14;0.01;16;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w017.dimacs;14;60;0.04;20;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w019.dimacs;16;112;0.11;22;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w021.dimacs;11;22;0.02;24;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w023.dimacs;16;39;0.14;80;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w025.dimacs;16;95;0.14;84;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w027.dimacs;16;84;0.13;88;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w029.dimacs;16;68;0.17;92;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w031.dimacs;13;75;0.31;102;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w033.dimacs;16;48;0.05;105;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w035.dimacs;16;45;0.10;122;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w037.dimacs;15;45;1.74;140;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w039.dimacs;18;139;0.10;7;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w041.dimacs;17;40;0.03;16;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w043.dimacs;16;92;0.08;21;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w045.dimacs;15;86;0.08;27;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w047.dimacs;15;81;0.08;38;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w049.dimacs;18;143;0.19;46;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w051.dimacs;17;115;0.17;53;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/2-real-world/w053.dimacs;15;82;0.09;56;;1;correct;
