file;vertices;edges;time;solsize;recsteps;finished;verified
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a001.dimacs;10;8;Command terminated by signal 8 0.10;;;1;verifier.py: ;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a003.dimacs;10;7;Command terminated by signal 8 0.08;;;1;verifier.py: ;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a005.dimacs;10;14;Command terminated by signal 8 0.09;;;1;verifier.py: ;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a007.dimacs;10;3;0.00;0;;1;correct;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a009.dimacs;10;3;Command terminated by signal 8 0.06;;;1;verifier.py: ;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a011.dimacs;20;8;Command terminated by signal 8 0.06;;;1;verifier.py: ;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a013.dimacs;20;20;Command terminated by signal 8 0.13;;;1;verifier.py: ;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a015.dimacs;20;15;Command terminated by signal 8 0.11;;;1;verifier.py: ;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a017.dimacs;20;23;Command terminated by signal 8 0.07;;;1;verifier.py: ;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a019.dimacs;20;10;Command terminated by signal 8 0.16;;;1;verifier.py: ;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a021.dimacs;50;68;Command terminated by signal 8 0.46;;;1;verifier.py: ;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a023.dimacs;50;97;Command terminated by signal 8 0.10;;;1;verifier.py: ;
/home/zia/studies/algeng_wce_solver/wce-students/3-actionseq/a025.dimacs;50;170;Command terminated by signal 8 0.33;;;1;verifier.py: ;
